Income,Car_Ownership,Current_House_Years,Generation,Prof_business management,Prof_design,Prof_engineering,Prof_finance,Prof_government public service,Prof_healthcare,Prof_miscellaneous,Prof_science research,Prof_technology,State_north_zone,State_south_zone,State_west_zone,City_rural,City_suburban,City_urban,Experience_Age_Ratio,Risk_Flag
1303834,0,13,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.13043478260869565,0
7574516,0,13,1,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0.25,0
3991815,0,10,3,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.06060606060606061,0
6256451,1,12,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0.04878048780487805,1
5768871,0,14,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.23404255319148937,1
6915937,0,12,3,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.0,0
3954973,0,12,2,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0.2413793103448276,0
1706172,0,14,1,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0.06060606060606061,0
7566849,1,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0.7083333333333334,0
8964846,0,13,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.5217391304347826,0
4634680,0,12,4,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08974358974358974,0
6623263,0,14,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.18181818181818182,0
9120988,0,12,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0.32142857142857145,0
8043880,0,10,2,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.21052631578947367,0
9420838,0,10,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0.125,1
5694236,1,10,1,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0.05128205128205128,0
7315840,0,14,4,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.11267605633802817,0
3666346,0,11,2,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0.21428571428571427,1
2241112,0,14,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0.2857142857142857,0
5431918,0,14,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0.025,0
9225468,0,10,2,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0.25925925925925924,0
6506739,0,11,2,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0.08,0
9157379,1,10,4,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0.18055555555555555,0
